[INFO] [2023-08-01 10:58:29,891] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 10:58:29,907] [CleanUp1]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:01:58,088] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:01:58,166] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 12:02:02,789] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:02:02,820] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 12:02:02,836] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 12:02:02,851] [CleanUp1]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:03:10,945] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:03:10,992] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 12:03:12,348] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:03:12,364] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 12:03:12,364] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 12:03:12,379] [CleanUp1]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:04:46,443] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:04:46,529] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 12:04:47,922] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:04:47,953] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 12:04:47,965] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 12:04:47,981] [CleanUp1]: El archivo se ha limpiado con éxito
[INFO] [2023-08-01 12:05:48,508] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 12:05:48,539] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 12:05:49,955] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
